window_id,window_start,window_end,cryptocurrency,tweet_count,synthetic_count,positive_count,neutral_count,negative_count,positive_ratio,neutral_ratio,negative_ratio,mean_sentiment_score,sentiment_std,sentiment_intensity,mean_sentiment_confidence,dominant_label,regime
ETH_20221130T100500Z,2022-11-30 10:05:00+00:00,2022-11-30 10:10:00+00:00,ETH,56,0,1,54,1,0.017857142857142856,0.9642857142857143,0.017857142857142856,0.011241186643019319,0.16373945389929095,0.05815402049172137,0.9133081808686256,neutral,neutral
ETH_20221130T101000Z,2022-11-30 10:10:00+00:00,2022-11-30 10:15:00+00:00,ETH,66,0,4,61,1,0.06060606060606061,0.9242424242424242,0.015151515151515152,0.059819646730003034,0.22688910851112049,0.09385752837371195,0.9063317396424033,neutral,neutral
ETH_20221130T101500Z,2022-11-30 10:15:00+00:00,2022-11-30 10:20:00+00:00,ETH,60,0,6,52,2,0.1,0.8666666666666667,0.03333333333333333,0.07491349207703024,0.25501186407845033,0.13277890007787693,0.8795691172281901,neutral,neutral
ETH_20221130T102000Z,2022-11-30 10:20:00+00:00,2022-11-30 10:25:00+00:00,ETH,50,0,0,50,0,0.0,1.0,0.0,0.008255466222763061,0.06133855482853862,0.03703350022435188,0.9101633977890015,neutral,neutral
ETH_20221130T102500Z,2022-11-30 10:25:00+00:00,2022-11-30 10:30:00+00:00,ETH,61,0,1,60,0,0.01639344262295082,0.9836065573770492,0.0,0.030419726520166047,0.09412813816873519,0.04639143092160831,0.9058648797332264,neutral,neutral
ETH_20221130T103000Z,2022-11-30 10:30:00+00:00,2022-11-30 10:35:00+00:00,ETH,61,0,4,56,1,0.06557377049180328,0.9180327868852459,0.01639344262295082,0.049695717796805455,0.21241406053916762,0.08916921954846284,0.8983409795604769,neutral,neutral
ETH_20221130T103500Z,2022-11-30 10:35:00+00:00,2022-11-30 10:40:00+00:00,ETH,61,0,5,55,1,0.08196721311475409,0.9016393442622951,0.01639344262295082,0.05595789689448525,0.2732818606339568,0.13150017377233408,0.8824101881902726,neutral,neutral
ETH_20221130T104000Z,2022-11-30 10:40:00+00:00,2022-11-30 10:45:00+00:00,ETH,75,0,2,71,2,0.02666666666666667,0.9466666666666667,0.02666666666666667,0.01769938272734483,0.19094448982390635,0.0798099335283041,0.896751979192098,neutral,neutral
ETH_20221130T104500Z,2022-11-30 10:45:00+00:00,2022-11-30 10:50:00+00:00,ETH,67,0,4,60,3,0.05970149253731343,0.8955223880597015,0.04477611940298507,0.061903764424261765,0.25553885556703015,0.1336035081532909,0.8737199595615045,neutral,neutral
ETH_20221130T105000Z,2022-11-30 10:50:00+00:00,2022-11-30 10:55:00+00:00,ETH,65,0,1,64,0,0.015384615384615385,0.9846153846153847,0.0,0.029325385105151397,0.11255806555450523,0.04830475850747182,0.9099916320580702,neutral,neutral
ETH_20221130T105500Z,2022-11-30 10:55:00+00:00,2022-11-30 11:00:00+00:00,ETH,64,0,2,61,1,0.03125,0.953125,0.015625,0.017573347038705833,0.16557259804776467,0.0669372087722877,0.9058156311511993,neutral,neutral
ETH_20221130T110000Z,2022-11-30 11:00:00+00:00,2022-11-30 11:05:00+00:00,ETH,118,0,5,111,2,0.0423728813559322,0.940677966101695,0.01694915254237288,0.041142385358275,0.20890228146345485,0.0816079481678494,0.9071143628176996,neutral,neutral
